"Player","League","Age","wi_star","Salary","SimpPos","PTS","GP","GS","MP","FG","FGA","FGP","X3P","X3PA","X3PP","X2P","X2PA","X2PP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","fpcBball"
"Jabari Walker","NBA",20,5.69512195121951,1017781,"F",3.9,56,0,11.1,1.5,3.5,0.419,0.3,1,0.286,1.2,2.5,0.472,0.6,0.8,0.756,0.9,1.5,2.3,0.6,0.2,0.2,0.5,1.2,635
"Cody Zeller","NBA",30,5.69512195121951,743922,"C",6.5,15,2,14.5,2.5,3.9,0.627,0,0.1,0,2.5,3.8,0.649,1.6,2.3,0.686,1.7,2.6,4.3,0.7,0.2,0.3,0.9,2.2,635
"Meyers Leonard","NBA",30,5.69512195121951,713558,"C",4.8,9,2,12.7,1.6,3.2,0.483,0.8,2,0.389,0.8,1.2,0.636,0.9,1,0.889,1.3,2.4,3.8,0.1,0.2,0,0.7,1.8,635
"Anthony Lamb","NBA",25,5.69512195121951,694878,"F",6.7,62,4,19.3,2.4,5.1,0.471,1.2,3.2,0.367,1.2,1.9,0.652,0.7,1,0.767,0.9,2.6,3.5,1.5,0.5,0.3,0.9,2.2,635
"Carlik Jones","NBA",25,5.69512195121951,612162,"G",2.9,7,0,8,0.9,2.1,0.4,0.4,0.9,0.5,0.4,1.3,0.333,0.7,1.1,0.625,0.1,0.6,0.7,0.9,0.3,0,0.3,0.3,635
"Orlando Robinson","NBA",22,5.69512195121951,386055,"C",3.7,31,1,13.7,1.5,2.9,0.528,0,0.2,0,1.5,2.7,0.566,0.7,1,0.71,1.5,2.5,4.1,0.8,0.4,0.4,0.5,1.7,635
"Dru Smith","NBA",25,5.69512195121951,374357,"G",2.9,15,1,10.5,1.2,3,0.4,0.3,1.3,0.263,0.9,1.7,0.5,0.2,0.2,1,0.1,1.5,1.6,1.5,0.7,0.3,0.2,1.5,635
"Louis King","NBA",23,5.69512195121951,307089,"F",20,1,0,29,8,13,0.615,4,8,0.5,4,5,0.8,0,1,0,2,2,4,2,1,0,2,4,635
"Tyler Dorsey","NBA",26,5.69512195121951,201802,"F",3,3,0,2.7,1.3,1.7,0.8,0.3,0.7,0.5,1,1,1,0,0,NA,0.3,0.3,0.7,0,0,0,0,0,635
"Braxton Key","NBA",25,5.69512195121951,201802,"F",1.3,3,0,3,0.3,0.3,1,0,0,NA,0.3,0.3,1,0.7,0.7,1,0,0.3,0.3,0,0,0,0,0,635
"Alize Johnson","NBA",26,5.69512195121951,192293,"F",1.8,4,0,7.5,0.8,1.5,0.5,0,0.5,0,0.8,1,0.75,0.3,0.5,0.5,0.5,2,2.5,0.3,0.3,0,1,0.8,635
"Lester Quinones","NBA",22,5.69512195121951,129405,"G",2.5,4,0,4.5,0.5,1.3,0.4,0.5,1,0.5,0,0.3,0,1,1.5,0.667,0.3,0.5,0.8,0.5,0.3,0,1.3,0,635
"Xavier Moon","NBA",28,5.69512195121951,116986,"G",1.8,4,0,5,0.8,2.3,0.333,0.3,0.8,0.333,0.5,1.5,0.333,0,0,NA,0,0.8,0.8,1.3,0,0,0.3,0.5,635
"Xavier Sneed","NBA",25,5.69512195121951,102910,"F",4.3,4,0,12,1.3,2.5,0.5,0.8,1.5,0.5,0.5,1,0.5,1,1,1,0,1.3,1.3,1.3,0,0.3,0.8,1.8,635
"Stanley Umude","NBA",23,5.69512195121951,58493,"G",2,1,0,2,0,1,0,0,1,0,0,0,NA,2,2,1,0,0,0,0,1,1,0,0,635
"Allie Quigley","WNBA",36,4.42105263157895,135000,"G",11.4,34,34,26.3,3.8,8.9,0.428,1.5,4.1,0.355,2.4,4.8,0.491,2.2,2.4,0.95,0.5,2,2.5,2.9,0.7,0.2,1.3,1.5,635
"Amy Atwell","WNBA",24,4.42105263157895,20955,"F",0.8,4,1,7.9,0.3,2.3,0.111,0.3,1.5,0.167,0,0.8,0,0,0,NA,0.3,0.3,0.5,0.5,0,0,0.5,0.3,635
"Angel McCoughtry","WNBA",36,4.42105263157895,69000,"F",6,2,2,9.9,1.5,4,0.375,0,0.5,0,1.5,3.5,0.429,3,3,1,0,3,3,1,0.5,1,1.5,1.5,635
"Azurá Stevens","WNBA",26,4.42105263157895,140000,"F",10.6,35,8,21.9,4.3,9.1,0.472,1.2,3.3,0.362,3.1,5.8,0.535,0.8,1.1,0.744,0.6,3.3,3.9,0.8,0.5,1.1,0.7,1.7,635
"Breanna Stewart","WNBA",28,4.42105263157895,228094,"F",21.8,34,34,30.9,7.5,15.9,0.472,2,5.2,0.379,5.5,10.7,0.518,4.8,5.8,0.837,1.4,6.2,7.6,2.9,1.6,0.9,1.3,2.1,635
"Brittney Sykes","WNBA",28,4.42105263157895,113300,"G",12.7,32,24,28.8,4.8,11,0.433,0.4,1.6,0.269,4.3,9.3,0.462,2.7,3.5,0.77,0.7,2.9,3.7,3.7,2,0.7,2.6,2.6,635
"Charli Collier","WNBA",23,4.42105263157895,71441,"F",2,17,0,4.6,0.7,1.6,0.444,0,0.1,0,0.7,1.5,0.48,0.6,0.8,0.714,0.2,0.4,0.6,0.1,0.1,0,0.6,1.1,635
"DeWanna Bonner","WNBA",35,4.42105263157895,227900,"F",13.5,33,33,30,4.7,10.8,0.439,1.4,4.2,0.329,3.3,6.5,0.512,2.6,3.2,0.827,0.8,4,4.7,2.8,1.2,0.3,1.6,1.8,635
"Destanni Henderson","WNBA",23,4.42105263157895,63389,"G",5.3,36,5,16.4,2,4.9,0.401,0.7,2,0.366,1.3,2.9,0.425,0.6,0.9,0.719,0.8,0.8,1.6,2.5,0.8,0.1,1.7,0.9,635
"Destiny Slocum","WNBA",25,4.42105263157895,4041,"G",4.7,3,0,13.7,1.3,3.7,0.364,1,3,0.333,0.3,0.7,0.5,1,1.7,0.6,0,1.3,1.3,1.3,0,0,1.7,1.3,635
"Ezi Magbegor","WNBA",23,4.42105263157895,60471,"C",9.5,33,23,24.7,4,7.3,0.55,0.3,0.9,0.345,3.7,6.5,0.577,1.2,1.6,0.736,1.6,4,5.6,1.4,0.9,1.8,1.4,2.9,635
"Gabby Williams","WNBA",26,4.42105263157895,144000,"F",7.5,36,36,25.6,3,6.8,0.444,0.5,1.9,0.257,2.5,4.8,0.52,1,1.3,0.778,1.2,3.8,5,3.1,1.5,0.4,1.4,1.6,635
"Iliana Rupert","WNBA",21,4.42105263157895,37420,"C",3.8,17,0,13.1,1.5,3.2,0.463,0.8,2.2,0.368,0.6,0.9,0.688,0.1,0.2,0.333,0.6,1.6,2.3,0.9,0.4,0,0.5,2.1,635
"Jasmine Thomas","WNBA",33,4.42105263157895,190000,"G",6.6,5,5,21.8,1.6,6,0.267,1,2.6,0.385,0.6,3.4,0.176,2.4,2.6,0.923,0.4,1.8,2.2,3,0.6,0.2,1.4,1.4,635
