"Player","Salary","SimpPos","Position","Age","TeamAbb","GP","GS","MP","FG","FGA","FGP","X3P","X3PA","X3PP","X2P","X2PA","X2PP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","League"
"Day'Ron Sharpe",2109480,"C","C",21,"BRK",48,3,11.5,1.9,3.6,0.544,0.1,0.2,0.545,1.8,3.3,0.544,0.7,1.1,0.636,2.1,2.1,4.2,0.8,0.3,0.7,0.9,1.9,4.7,"NBA"
"Tony Bradley",2036318,"C","C",25,"CHI",12,0,2.8,0.5,1,0.5,0.3,0.4,0.6,0.3,0.6,0.429,0.3,0.3,1,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.2,1.6,"NBA"
"Frank Ntilikina",2036318,"G","SG",24,"DAL",47,5,12.9,1,2.8,0.364,0.4,1.4,0.254,0.7,1.4,0.477,0.5,0.7,0.667,0.1,1.2,1.3,1.2,0.3,0.1,0.6,1.4,2.9,"NBA"
"Garrison Mathews",2e+06,"G","SG",26,"HOU/ATL",54,0,12.7,1.4,3.7,0.363,1.2,3.3,0.35,0.2,0.4,0.476,0.9,1,0.906,0.2,1.1,1.4,0.5,0.4,0.1,0.4,1.1,4.8,"NBA"
"Jaylin Williams",2e+06,"C","C",20,"OKC",49,36,18.7,2.1,4.8,0.436,0.9,2.3,0.407,1.1,2.5,0.463,0.8,1.1,0.704,0.9,4,4.9,1.6,0.6,0.2,0.8,2.3,5.9,"NBA"
"Jeremiah Robinson-Earl",2e+06,"F","PF",22,"OKC",43,20,18.9,2.6,5.8,0.444,0.9,2.6,0.333,1.7,3.2,0.533,0.8,1,0.833,1.7,2.5,4.2,1,0.6,0.3,0.4,1.7,6.8,"NBA"
"Kenrich Williams",2e+06,"F","PF",28,"OKC",53,10,22.8,3.4,6.5,0.517,0.9,2.5,0.373,2.4,4,0.608,0.3,0.7,0.436,1.8,3.1,4.9,2,0.8,0.3,0.6,2.1,8,"NBA"
"Caleb Houstan",2e+06,"F","SF",20,"ORL",51,4,15.9,1.3,3.6,0.363,0.9,2.7,0.338,0.4,0.9,0.435,0.3,0.4,0.833,0.7,1.3,1.9,0.6,0.2,0.1,0.4,1.2,3.8,"NBA"
"Shake Milton",1997718,"G","SG",26,"PHI",76,11,20.6,3.2,6.6,0.479,0.7,1.9,0.378,2.4,4.7,0.521,1.3,1.5,0.853,0.5,2,2.5,3.2,0.3,0.2,1.2,1.6,8.4,"NBA"
"Aaron Holiday",1968175,"G","PG",26,"ATL",63,6,13.4,1.5,3.5,0.418,0.6,1.4,0.409,0.9,2.1,0.424,0.4,0.5,0.844,0.4,0.8,1.2,1.4,0.6,0.2,0.6,1.3,3.9,"NBA"
"Yuta Watanabe",1968175,"F","SF",28,"BRK",58,1,16,2,4,0.491,1,2.3,0.444,0.9,1.7,0.557,0.6,0.8,0.723,0.5,1.9,2.4,0.8,0.4,0.3,0.4,1.4,5.6,"NBA"
"Edmond Sumner",1968175,"G","SG",27,"BRK",53,12,13.9,2.3,5.1,0.461,0.6,1.6,0.356,1.8,3.4,0.511,1.9,2,0.917,0.2,1.2,1.5,1.3,0.6,0.2,0.9,1.6,7.1,"NBA"
