PLAYER,2022 SALARY,2022 SIGNING,G,GS,MIN,PTS,FGM,FGA,FG%,2:00 PM,2PA,2P%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Katie Lou Samuelson,"$72,141",--,32,29,29.5,9.7,3.3,9,37.30%,1.6,4,39.80%,1.8,5,35.20%,1.3,1.5,83.70%,0.5,2.4,3,1.9,1.1,1,0.2,1.6
Ezi Magbegor,"$60,471",--,33,23,24.7,9.5,4,7.3,55.00%,3.7,6.5,57.70%,0.3,0.9,34.50%,1.2,1.6,73.60%,1.6,4,5.6,1.4,1.4,0.9,1.8,2.9
Dearica Hamby,"$152,800",--,34,32,26.5,9.3,3.4,7.3,46.60%,2.9,5.2,56.80%,0.5,2.1,21.90%,2,2.7,72.00%,1.4,5.6,7.1,1.1,1.5,1.1,0.1,2
Jordin Canada,"$98,000",UFA,32,25,27,9.2,3.3,8.5,38.40%,3,6.9,43.90%,0.2,1.6,14.00%,2.5,3.1,80.60%,0.2,2.1,2.3,5.5,2.3,1.4,0.2,1.8
Natisha Hiedeman,"$72,141",Reserved,36,31,25,9.1,3.3,7.6,43.10%,1.4,2.9,46.20%,1.9,4.7,41.10%,0.7,0.8,80.00%,0.2,1.6,1.8,3.3,1.3,1.2,0.1,1.8
Myisha Hines-Allen,"$170,000",RFA,34,15,19.3,8.9,3.4,8.1,41.50%,2.5,5.8,43.40%,0.9,2.3,36.70%,1.3,1.9,70.30%,1.1,4.2,5.3,1.9,1.7,0.8,0.3,1.6
Chennedy Carter,"$76,297",--,24,2,16.4,8.9,3.5,7.9,45.00%,3.5,7.5,46.40%,0.1,0.4,20.00%,1.7,2.3,74.50%,0.4,1.5,1.9,1.9,1.8,0.6,0.4,2.2
Isabelle Harrison,"$159,000",--,35,18,18.4,8.7,3.3,7.1,46.60%,3.3,7.1,46.20%,0.1,0.1,100.00%,2.1,2.4,86.70%,1.4,2.9,4.3,1.3,1.3,0.7,0.1,2.1
Shakira Austin,"$72,141",Rookie,36,32,21.6,8.7,3.4,6.2,54.70%,3.4,6.2,55.00%,0,0,0.00%,1.9,3,62.40%,1.8,4.7,6.4,0.9,1.5,0.8,0.8,2.3
Han Xu,"$60,471",Rookie,32,0,16.8,8.5,3.4,6.9,49.30%,2.9,5.8,50.30%,0.5,1.1,44.40%,1.2,1.5,79.60%,1.2,2.4,3.6,0.9,0.7,0.5,0.7,1
Rebekah Gardner,"$60,471",UFA,35,2,21.7,8.4,3.3,6.1,54.20%,2.9,4.9,58.70%,0.4,1.2,35.70%,1.4,1.7,80.00%,1.3,2,3.3,1.3,1.6,1.4,0.5,2.3
Erica Wheeler,"$185,400",--,30,30,26.3,8.4,3.3,9.2,35.50%,2.5,6.8,36.50%,0.8,2.4,32.90%,1,1.4,75.60%,0.6,2.5,3.1,3.9,2.5,1.1,0.1,2.5
Jessica Shepard,"$60,471",--,36,22,26.1,8.1,3,6,50.00%,2.8,5.3,53.10%,0.2,0.7,25.00%,1.9,2.6,73.40%,2,5.4,7.4,3,1.7,0.4,0.3,2.1
