"","year","langcode","language","total","percent","rankinyear"
"166",2000,43,"Chinese",266649,0.0279980583460094,3
"167",2000,44,"Tibetan",1281,0.000134504583708313,43
"168",2000,45,"Burmese, Lisu, Lolo",3626,0.000380728821644297,34
"169",2000,47,"Thai, Siamese, Lao",26476,0.00277997139598852,16
"170",2000,48,"Japanese",61678,0.00647616995625398,9
"171",2000,49,"Korean",164473,0.0172696115505523,5
"172",2000,50,"Vietnamese",73610,0.00772902607866428,7
"173",2000,51,"Other East/Southeast Asian",28745,0.00301821565862253,15
"174",2000,52,"Indonesian",8990,0.000943947078483792,24
"175",2000,53,"Other Malayan",22698,0.00238328262374027,17
"176",2000,54,"Filipino, Tagalog",199076,0.0209029153054771,4
"177",2000,55,"Micronesian, Polynesian",9929,0.00104254177333321,23
"178",2000,56,"Hawaiian",307,3.22349002329838e-05,51
"179",2000,57,"Arabic",38917,0.00408627235298706,13
"180",2000,58,"Near East Arabic dialect",2668,0.000280139132969383,37
"181",2000,59,"Hebrew, Israeli",22564,0.00236921266728679,18
"182",2000,60,"Amharic, Ethiopian, etc.",4902,0.00051470840697748,33
"183",2000,61,"Hamitic",231,2.42549249310073e-05,53
"184",2000,63,"Sub-Saharan Africa",10524,0.00110501657997368,22
"185",2000,64,"African, n.s.",308,3.23398999080098e-05,50
"186",2000,72,"Algonquian",288,3.02399064074897e-05,52
"187",2000,74,"Athapascan",28,2.93999090072816e-06,58
"188",2000,75,"Navajo",349,3.6644886584076e-05,49
"189",2000,81,"Siouan languages",13,1.36499577533808e-06,59
"190",2000,82,"Muskogean",68,7.13997790176839e-06,55
"191",2000,83,"Keres",68,7.13997790176839e-06,55
"192",2000,84,"Iroquoian",31,3.25498992580618e-06,57
"193",2000,96,"Other or not reported",12442,0.00130640595667356,20
"194",2010,0,"N/A or blank",640839,0.0652035957065516,NA
"195",2010,1,"English",3930328,0.399900002818398,1
"196",2010,2,"German",25408,0.00258519372215496,17
"197",2010,3,"Yiddish, Jewish",1617,0.000164525277421465,39
"198",2010,4,"Dutch",5441,0.000553606700340253,29
"199",2010,5,"Swedish",3408,0.000346754573563606,34
"200",2010,6,"Danish",911,9.26917301984875e-05,45
"201",2010,7,"Norwegian",1175,0.000119552999981584,43
"202",2010,10,"Italian",14562,0.00148164322189942,21
"203",2010,11,"French",33962,0.00345553956202089,13
"204",2010,12,"Spanish",3659345,0.372328232100092,2
"205",2010,13,"Portuguese",15477,0.00157474194103401,19
"206",2010,14,"Rumanian",4912,0.000499782413540034,30
"207",2010,15,"Celtic",260,2.64542808469887e-05,50
"208",2010,16,"Greek",7033,0.000715588296911046,27
"209",2010,17,"Albanian",339,3.44923123351122e-05,47
"210",2010,18,"Russian",50910,0.00517995168430845,11
